Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Like
2024-04-01,The Prestige,2006,https://boxd.it/6bmPb1,5.0,,,2024-03-31,True
2024-04-02,Eyes Wide Shut,1999,https://boxd.it/6bOdY1,4.0,,,2024-04-01,True
2024-04-02,The Shawshank Redemption,1994,https://boxd.it/6bTMxT,5.0,,,2024-04-01,True
2024-04-03,The Hunt,2012,https://boxd.it/6cgDf3,4.5,,,2024-04-02,True
2024-04-04,The Nice Guys,2016,https://boxd.it/6cJ5Uf,4.0,Yes,,2024-04-03,True
2024-04-04,Past Lives,2023,https://boxd.it/6cLQnB,4.5,,,2024-04-03,True
2024-04-05,Everything Everywhere All at Once,2022,https://boxd.it/6d54hZ,4.5,,,2024-04-04,False
2024-04-05,Evil Dead Rise,2023,https://boxd.it/6d8EDt,3.5,,,2024-04-04,False
2024-04-06,Cocaine Bear,2023,https://boxd.it/6dys15,2.0,,,2024-04-05,True
2024-04-06,Nobody,2021,https://boxd.it/6dN1uT,3.0,,,2024-04-06,True
2024-04-08,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/6ejxxf,5.0,,,2024-04-07,False
2024-04-08,"20,000 Species of Bees",2023,https://boxd.it/6emWvJ,3.5,,,2024-04-07,True
2024-04-08,Maestro,2023,https://boxd.it/6eyinp,2.5,,,2024-04-07,True
2024-04-09,Night of the Living Dead,1968,https://boxd.it/6eVS0x,4.0,,,2024-04-08,True
2024-04-09,Sound of Metal,2019,https://boxd.it/6eZESD,4.5,,,2024-04-08,False
2024-04-10,Citizen Kane,1941,https://boxd.it/6fmIPJ,5.0,,,2024-04-09,True
2024-04-11,Bomb Scared,2017,https://boxd.it/6fGQMj,2.0,,,2024-04-10,True
2024-04-12,Top Gun: Maverick,2022,https://boxd.it/6g1exd,4.0,,,2024-04-11,False
2024-04-12,End of Watch,2012,https://boxd.it/6g4TFt,3.5,,,2024-04-11,False
2024-04-13,Seven Pounds,2008,https://boxd.it/6grziP,2.5,Yes,,2024-04-12,False
2024-04-14,The Fundamentals of Caring,2016,https://boxd.it/6gTdy3,3.0,,,2024-04-13,True
2024-04-15,Godzilla vs. Kong,2021,https://boxd.it/6hmd0j,2.5,Yes,,2024-04-14,True
2024-04-16,American Psycho,2000,https://boxd.it/6hHTvl,4.0,,,2024-04-15,True
2024-04-16,All Quiet on the Western Front,2022,https://boxd.it/6hMkqP,4.5,,,2024-04-15,True
2024-04-17,[REC],2007,https://boxd.it/6i2VvT,4.5,,,2024-04-16,True
2024-04-17,Ali G Indahouse,2002,https://boxd.it/6i4SdL,3.0,Yes,,2024-04-16,False
2024-04-18,[REC]²,2009,https://boxd.it/6iqmsN,3.5,,,2024-04-17,True
2024-04-19,[REC]³ Genesis,2012,https://boxd.it/6iMOWZ,1.5,,,2024-04-18,True
2024-04-20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/6j9Y7t,4.5,,,2024-04-19,True
2024-04-21,Before Midnight,2013,https://boxd.it/6jB8jt,3.5,,,2024-04-20,True
2024-04-24,They Cloned Tyrone,2023,https://boxd.it/6kPUQn,3.5,,,2024-04-23,True
2024-04-25,Sicario,2015,https://boxd.it/6lbxCL,4.0,Yes,,2024-04-24,False
2024-04-28,Monty Python and the Holy Grail,1975,https://boxd.it/6mm4it,4.0,,,2024-04-28,True
2024-05-07,Lost in Translation,2003,https://boxd.it/6qsHCv,3.0,,,2024-05-06,True
2024-05-08,Parasite,2019,https://boxd.it/6qPrXN,5.0,,,2024-05-07,True
2024-05-09,Robot Dreams,2023,https://boxd.it/6rbFnX,4.0,,,2024-05-08,True
2024-05-10,Train to Busan,2016,https://boxd.it/6rtmLR,3.5,,,2024-05-09,True
2024-05-11,Pan's Labyrinth,2006,https://boxd.it/6rU6Jf,3.5,,,2024-05-10,False
2024-05-14,Full Metal Jacket,1987,https://boxd.it/6tb6K1,4.5,,,2024-05-13,False
2024-05-15,Taxi Driver,1976,https://boxd.it/6twVUX,5.0,,,2024-05-14,False
2024-05-16,Léon: The Professional,1994,https://boxd.it/6tUxNV,3.5,,,2024-05-15,False
2024-05-17,Memento,2000,https://boxd.it/6ueQmz,3.0,,,2024-05-16,False
2024-05-24,"I, Tonya",2017,https://boxd.it/6x3rI1,4.0,,,2024-05-23,True
2024-05-25,The Fast and the Furious,2001,https://boxd.it/6xrivF,3.0,,,2024-05-24,False
2024-05-26,2 Fast 2 Furious,2003,https://boxd.it/6xT4fJ,3.0,,,2024-05-25,False
2024-05-27,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/6ynicT,3.0,,,2024-05-26,False
2024-05-28,Fast & Furious,2009,https://boxd.it/6yOQxb,1.5,,,2024-05-27,True
2024-05-29,Fast Five,2011,https://boxd.it/6zhmtr,3.5,,,2024-05-28,True
2024-05-30,Fast & Furious 6,2013,https://boxd.it/6zEDPF,3.0,,,2024-05-29,True
2024-06-01,Furious 7,2015,https://boxd.it/6AqDXZ,3.0,,,2024-05-31,True
2024-06-07,Boss Level,2021,https://boxd.it/6CRT3v,2.5,,,2024-06-06,True
2024-06-08,Groundhog Day,1993,https://boxd.it/6Dd7lb,4.0,,,2024-06-07,True
2024-06-10,Challengers,2024,https://boxd.it/6DYPxJ,4.0,,,2024-06-09,True
2024-06-10,Enemy,2013,https://boxd.it/6E2vFh,3.5,,,2024-06-09,True
2024-06-10,Real Steel,2011,https://boxd.it/6E8CHh,3.0,Yes,,2024-06-09,True
2024-06-11,Mystic River,2003,https://boxd.it/6Ezw69,3.5,,,2024-06-10,False
2024-06-13,The Beasts,2022,https://boxd.it/6FkfVX,4.0,,,2024-06-12,True
2024-06-25,"As Above, So Below",2014,https://boxd.it/6K59xF,4.0,,,2024-06-24,True
2024-06-26,"Crazy, Stupid, Love.",2011,https://boxd.it/6KrCLZ,3.5,,,2024-06-25,True
2024-06-27,Fractured,2019,https://boxd.it/6KNIaf,3.0,,,2024-06-26,True
2024-06-28,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/6LauPp,2.5,,,2024-06-27,True
2024-06-29,Chronicle,2012,https://boxd.it/6Lo5gH,3.5,,,2024-06-28,True
2024-06-29,Inside Out,2015,https://boxd.it/6LroGP,4.0,Yes,,2024-06-28,True
2024-06-29,Red Eye,2005,https://boxd.it/6LwyyL,2.5,,,2024-06-28,True
2024-06-30,The Talented Mr. Ripley,1999,https://boxd.it/6LNabn,3.5,,,2024-06-29,False
2024-06-30,The Intouchables,2011,https://boxd.it/6LWngX,3.5,,,2024-06-29,False
2024-07-02,Edge of Tomorrow,2014,https://boxd.it/6ME2IT,4.0,Yes,,2024-07-01,True
2024-07-04,The Devil Wears Prada,2006,https://boxd.it/6NDEKP,4.0,,,2024-07-03,True
2024-07-05,Zoolander,2001,https://boxd.it/6NTRwD,4.5,,,2024-07-04,False
2024-07-05,American Assassin,2017,https://boxd.it/6O2r3N,2.5,Yes,,2024-07-04,True
2024-07-08,2001: A Space Odyssey,1968,https://boxd.it/6PpDe9,3.0,,,2024-07-07,True
2024-07-09,City of God,2002,https://boxd.it/6PFQ0h,5.0,,,2024-07-08,True
2024-07-10,American Gangster,2007,https://boxd.it/6QaMU3,4.0,,,2024-07-09,True
2024-07-11,Taken,2008,https://boxd.it/6QEIqX,3.0,,,2024-07-10,True
2024-07-11,Dune: Part Two,2024,https://boxd.it/6QXjwz,5.0,,,2024-07-11,True
2024-07-13,Donnie Brasco,1997,https://boxd.it/6RyUkz,3.5,,,2024-07-12,False
2024-07-20,Despicable Me 4,2024,https://boxd.it/6UBuPp,3.5,,,2024-07-19,True
2024-07-21,Gran Torino,2008,https://boxd.it/6VbU6R,4.0,,,2024-07-20,False
2024-07-22,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/6VHp79,4.0,,,2024-07-21,True
2024-07-23,Dream Scenario,2023,https://boxd.it/6W2XJN,3.5,,,2024-07-22,False
2024-07-23,Godzilla × Kong: The New Empire,2024,https://boxd.it/6Wc6Nd,2.0,,,2024-07-22,True
2024-07-24,Men in Black,1997,https://boxd.it/6WygWj,4.0,Yes,,2024-07-23,True
2024-07-24,Zoolander 2,2016,https://boxd.it/6WDEpX,0.5,,,2024-07-23,False
2024-07-24,Men in Black II,2002,https://boxd.it/6WSC0h,3.0,Yes,,2024-07-24,False
2024-07-25,Alita: Battle Angel,2019,https://boxd.it/6WWKbF,2.5,,,2024-07-24,True
2024-07-25,The World is Ours,2012,https://boxd.it/6WZc97,4.5,Yes,,2024-07-24,False
2024-07-25,The Day of the Beast,1995,https://boxd.it/6X5fhP,3.5,,,2024-07-24,False
2024-08-01,Unthinkable,2010,https://boxd.it/70hjD7,2.5,,,2024-07-31,False
2024-08-02,Sleep Tight,2011,https://boxd.it/70DFed,3.0,,,2024-08-01,True
2024-08-04,Thesis,1996,https://boxd.it/71iEHF,3.5,,,2024-08-03,False
2024-08-04,Under Paris,2024,https://boxd.it/71uQFb,2.0,,,2024-08-03,True
2024-08-05,The Flash,2023,https://boxd.it/720ZgN,2.0,,,2024-08-04,True
2024-08-06,The Vault,2021,https://boxd.it/72rlPn,2.0,,,2024-08-05,True
2024-08-07,Kingdom of the Planet of the Apes,2024,https://boxd.it/72Jg1j,3.5,,,2024-08-06,True
2024-08-07,Failure to Launch,2006,https://boxd.it/72SlcT,0.5,,,2024-08-06,True
2024-08-08,About Time,2013,https://boxd.it/734LAB,4.5,,,2024-08-07,True
2024-08-08,A Quiet Place,2018,https://boxd.it/73bolx,4.0,,,2024-08-07,True
2024-08-08,The Lego Movie,2014,https://boxd.it/73geB1,4.0,,,2024-08-07,True
