Date,Name,Year,Letterboxd URI,Rating
2024-04-20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4.5
2024-04-20,[REC]³ Genesis,2012,https://boxd.it/2N90,1.5
2024-04-21,Before Midnight,2013,https://boxd.it/4ive,3.5
2024-04-24,They Cloned Tyrone,2023,https://boxd.it/rE7a,3.5
2024-04-25,Sicario,2015,https://boxd.it/8i7u,4
2024-04-28,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,4
2024-04-30,Lost in Translation,2003,https://boxd.it/2b0E,3
2024-05-08,Parasite,2019,https://boxd.it/hTha,5
2024-05-08,[REC],2007,https://boxd.it/20ma,5
2024-05-09,Robot Dreams,2023,https://boxd.it/vBZm,4
2024-05-10,Train to Busan,2016,https://boxd.it/dSQU,3.5
2024-05-11,Pan's Labyrinth,2006,https://boxd.it/28No,3.5
2024-05-14,Full Metal Jacket,1987,https://boxd.it/2a1Q,4.5
2024-05-15,Taxi Driver,1976,https://boxd.it/2b8y,5
2024-05-16,Léon: The Professional,1994,https://boxd.it/2b8S,3.5
2024-05-17,Memento,2000,https://boxd.it/2bcK,3
2024-05-24,"I, Tonya",2017,https://boxd.it/dzR0,4
2024-05-25,The Fast and the Furious,2001,https://boxd.it/1XMu,3
2024-05-26,2 Fast 2 Furious,2003,https://boxd.it/2a4g,3
2024-05-27,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,3
2024-05-28,Fast & Furious,2009,https://boxd.it/1Pnm,1.5
2024-05-29,Fast Five,2011,https://boxd.it/BgO,3.5
2024-05-30,Fast & Furious 6,2013,https://boxd.it/2UG6,3
2024-06-01,Furious 7,2015,https://boxd.it/5cVs,2.5
2024-06-07,Boss Level,2021,https://boxd.it/iAkw,2.5
2024-06-08,Groundhog Day,1993,https://boxd.it/2b3e,4
2024-06-10,Challengers,2024,https://boxd.it/zld0,4
2024-06-10,Enemy,2013,https://boxd.it/5xtO,3.5
